time,flux,flux_err
1422.263184,0.995793,0.202726
1422.323975,0.995976,0.206084
1422.404297,0.997271,0.216611
1422.471069,0.998376,0.208527
1422.527832,0.999051,0.207812
1422.606079,0.997832,0.207725
1422.67627,0.99782,0.212732
1422.739624,0.997735,0.206687
1422.823975,0.99701,0.209112
1422.894653,0.996712,0.206412
1422.956177,0.996277,0.214416
1423.03833,0.995964,0.226227
1423.110229,0.996085,0.227951
1423.168945,0.995555,0.206844
1423.232056,0.994634,0.209253
1423.32312,0.99405,0.21975
1423.388916,0.993795,0.209677
1423.453613,0.99335,0.211376
1423.5271,0.992575,0.219707
1423.597534,0.991541,0.211515
1423.662964,0.991422,0.209603
1423.731079,0.991452,0.218445
1423.807007,0.990797,0.213712
1423.880737,0.989569,0.221683
1423.944946,0.989468,0.217869
1424.020996,0.988912,0.210702
1424.096436,0.988948,0.233238
1424.154053,0.988679,0.220278
1424.234131,0.988399,0.222321
1424.296997,0.988444,0.225438
1424.368042,0.987995,0.229193
1424.447021,0.987675,0.241838
1424.518799,0.987382,0.239934
1424.590942,0.987205,0.246939
1424.658203,0.986865,0.243146
1424.725342,0.986821,0.24292
1424.797485,0.98671,0.237116
1424.864014,0.986032,0.242441
1424.940186,0.986004,0.2599
1425.007324,0.985868,0.236706
1425.074341,0.985617,0.236325
1425.150757,0.986177,0.235562
1425.223755,0.986443,0.239775
1425.292847,0.986684,0.241624
1425.365601,0.986502,0.24183
1425.431274,0.986905,0.24204
1425.503418,0.98707,0.242346
1425.571655,0.987616,0.239648
1425.642822,0.988205,0.245484
1425.714478,0.98838,0.248437
1425.784424,0.988701,0.243457
1425.848145,0.988544,0.242011
1425.925415,0.988921,0.249509
1425.998047,0.989242,0.243289
1426.059204,0.989383,0.242329
1426.135864,0.989438,0.245552
1426.208496,0.989475,0.245211
1426.280884,0.989447,0.245568
1426.345337,0.989317,0.248648
1426.419556,0.989103,0.255992
1426.488403,0.988284,0.253522
1426.562744,0.988116,0.251158
1426.627319,0.987384,0.248198
1426.703247,0.987132,0.252357
1426.769043,0.986337,0.250555
1426.843994,0.985458,0.262839
1426.9104,0.984968,0.258107
1426.977661,0.984068,0.247063
1427.054565,0.983245,0.23648
1427.126465,0.98223,0.242151
1427.187134,0.980808,0.243331
1427.260742,0.979787,0.238322
